Date,Temp High,Temp Low,Rain level (inches),Collision Count
12/5/2016,65.77,53.67,0.0,154
12/6/2016,63.46,51.16,0.0,154
12/7/2016,63.47,49.7,0.0,160
12/8/2016,66.04,51.65,0.0,168
12/9/2016,65.01,53.83,0.0,190
12/10/2016,65.02,58.98,0.0,176
12/11/2016,64.48,57.56,0.0035,127
12/12/2016,66.06,56.47,0.0,150
12/13/2016,66.02,52.08,0.0,163
12/14/2016,70.41,55.88,0.0,175
12/15/2016,65.35,54.65,0.3115,223
12/16/2016,60.76,43.7,0.5529999999999999,195
12/17/2016,59.32,42.11,0.001,156
12/18/2016,64.44,45.24,0.0,184
12/19/2016,69.58,49.93,0.0,152
12/20/2016,77.27,59.55,3.2865,137
12/21/2016,66.11,54.01,0.5405,180
12/22/2016,63.31,54.34,0.3485,160
12/23/2016,60.53,48.46,1.329,183
12/24/2016,56.29,40.88,0.78,136
12/25/2016,55.94,45.16,0.001,121
12/26/2016,61.45,47.07,0.001,115
12/27/2016,70.39,52.52,0.0,133
12/28/2016,77.86,54.9,0.0,141
12/29/2016,79.85,55.78,0.0,121
12/30/2016,63.09,55.6,0.2585,141
12/31/2016,56.6,42.56,0.187,153
